Type,Task ID,Name,Status,Ready,Start Date,End Date,Assignee,Category,Dependencies,Required For,Material Deps,Notes,Comments
TASK,finish-trim,Finish Trim,in-progress,✅ Yes,2026-01-23,2026-01-24,Eliseo,trim,painting,"install-doors, crest-prep, crest-installation, kitchen-baseboard, upper-cabinet-install",crown-molding,"Trim joints should be finished with Bondo for wood, not wood filler and definitely not caulk.",
  ↳ subtask,finish-trim-1,    Trim Passthrough,scheduled,✅ Yes,2026-01-23,2026-01-24,Eliseo,trim,,,,"1. Casing must be same thickness all around for equipment install. 
2. Inside casing is 3/4"". 
3. Outside casing is 1/2"" - need to plane 3/4"" to 1/2"" (Dave to provide planer). 
4. Trim height is 35 7/8"" - can be cut to 30"" to fit opening. Kat to reach out to Crest Mechanical. 
5. Opening width is 47 3/4"" - can be trimmed for tighter fit (site opening is 49"").",
  ↳ subtask,finish-trim-2,    Adjust Hallway Opening Heights,scheduled,✅ Yes,2026-01-23,2026-01-24,Eliseo,trim,,,,"1. Kitchen to storage: 4 1/2"" from ceiling in small storage room to finished opening height. 
2. Storage to back door: 4 1/2"" from ceiling from pantry side to finished opening height. 
3. Locations marked in pencil on openings, left side at top.",
  ↳ subtask,finish-trim-3,    Kitchen Crown Molding,scheduled,✅ Yes,2026-01-23,2026-01-24,Eliseo,trim,painting-1,,crown-molding,"1. Need to figure out how to handle the sagging joist (Can handle it by floating the ceiling from chase to the dip over the door.) 
2. Registers in laundry and storage room may be too low for crown molding. 
3. Need to verify once crown is on site. 
4. HVAC can be scheduled for 1/22 or 1/23 - confirmed we cannot adjust the registers ourselves from Joclar & Fields.",
  ↳ subtask,finish-trim-4,    Laundry Crown Molding,scheduled,✅ Yes,2026-01-23,2026-01-24,Eliseo,trim,,,crown-molding,,
  ↳ subtask,finish-trim-5,    Kitchen Main Door Casing,scheduled,✅ Yes,2026-01-23,2026-01-24,Eliseo,trim,,,,"1. Light switch is so close to casing - need to case around light switch. 2. Need reveal on door casing (currently flush) - reveal should match standard reveal (e.g., match windows reveal).",
  ↳ subtask,finish-trim-6,    Install Baseboard in Scupernong,scheduled,✅ Yes,2026-01-23,2026-01-24,Eliseo,trim,"finish-drywall-2, painting-2",,,Requires Scupernong drywall and paint complete first.,
  ↳ subtask,finish-trim-7,    Change header trim over triple window to match other window,scheduled,✅ Yes,2026-01-23,2026-01-24,Eliseo,trim,,,,,
TASK,install-doors,Install Doors,needs-scheduled,⚠️ Missing: dates,,,Danny,trim,finish-trim,painting-4,"door-main-kitchen, door-back, door-hvac, hinges-install-doors-1, hinges-back-door, doorknob-back-door, deadbolt-back-door, doorknob-hinges-hvac",,
  ↳ subtask,install-doors-1,    Main Kitchen Door,needs-scheduled,⚠️ Missing: dates,,,Danny,trim,,,"door-main-kitchen, hinges-install-doors-1",1. Hinges to be delivered 1/22. 2. Door is in the garage.,
  ↳ subtask,install-doors-2,    Install Back Door,needs-scheduled,⚠️ Missing: dates,,,Danny,trim,,finish-drywall-3,"door-back, hinges-back-door, doorknob-back-door, deadbolt-back-door",1. Door is in the garage. 2. Install with Antique Bronze hinges. 3. Install existing antique bronze electronic deadbolt and door knob provided by owner.,
  ↳ subtask,install-doors-3,    HVAC Door,needs-scheduled,⚠️ Missing: dates,,,Danny,trim,,,"door-hvac, doorknob-hinges-hvac","1. Install existing 32"" door with jamb. 2. Same casing as main kitchen door.",
TASK,build-back-deck,Build Back Deck with Ramp,needs-scheduled,⚠️ Missing: dates,,,Danny,framing,remove-old-porch,,,"Need to sort out details for dimensions, rail system vs. no rail system, etc. REQUEST: GC meet with owner to plan.",
TASK,remove-old-porch,Remove Old Porch Steps and Posts,needs-scheduled,⚠️ Missing: dates,,,Danny,framing,,build-back-deck,,,
TASK,hvac-registers,HVAC Lower Registers,cancelled,✅ Yes,2026-01-22,2026-01-22,Joclar & Fields,mechanical,,,,Registers in laundry and storage room may be too low for crown molding. Also available 1/23 if needed.,1. 2026-01-21: Cancelled - Registers will work but barely - using low profile registers instead
TASK,crest-prep,Crest Prep / Cleaning,needs-scheduled,⚠️ Missing: assignee,2026-01-26,2026-01-26,Needs Assignment,clean,"kitchen-baseboard, upper-cabinet-install, finish-trim",crest-installation,,"Clean and prep kitchen area before Crest arrives. Clear tools and materials, protect flooring.",
